code	name	lat	lng
IN-JK	Jammu and Kashmīr	33.377	74.315
IN-JH	Jharkhand	23.691	85.272
IN-KA	Karnātaka	15.317	75.714
IN-KL	Kerala	10.514	76.641
IN-MP	Madhya Pradesh	22.973	78.657
IN-MH	Mahārāshtra	19.751	75.714
IN-PB	Punjab	31.663	75.546
IN-RJ	Rājasthān	27.024	74.218
IN-TN	Tamil Nādu	11.127	78.657
IN-TR	Tripura	23.941	91.988
IN-AN	Andaman and Nicobar Islands	11.74	92.659
IQ-AN	Al Anbar	34.441	41.945
IQ-BA	Al Basrah	30.5	47.817
IQ-MU	Al Muthanna	29.267	45.1
IQ-NA	An Najef	32.003	44.314
IQ-AR	Arbil	36.047	43.84
IQ-BB	Babil	32.626	44.535
IQ-BG	Baghdad	33.316	44.392
IQ-DQ	Dhi Qar	31.094	46.281
IQ-DI	Diyala	33.984	45.008
IQ-KI	Kirkuk	35.384	44.29
IQ-KA	Karbala'	32.614	44.025
IQ-MA	Maysan	31.49	47.164
IQ-NI	Ninawa	36.36	43.15
IQ-SD	Salah ad Din	34.494	43.675
IQ-WA	Wasit	32.13	45.979
IR-02	Āzarbāyjān-e Gharbī	38.058	46.31
IR-01	Āzarbāyjān-e Sharqī	38.058	46.31
IR-06	Būshehr	28.922	50.833
IR-09	Khorasan	34.365	57.276
IR-04	Eşfahān	36.252	50.001
IR-14	Fārs	29.601	52.46
IR-27	Golestān	34.374	47.15
IR-23	Hormozgān	26.546	54.001
IR-15	Kermān	30.28	57.067
IR-30	Khorāsān-e Razavī	36.332	59.596
IR-10	Khūzestān	31.307	48.692
IR-16	Kordestān	36.691	45.143
IR-20	Lorestān	35.679	51.473
IR-21	Māzandarān	35.7	51.443
IR-28	Qazvīn	36.267	50.004
IR-13	Sīstān va Balūchestān	29.511	60.856
IR-07	Tehrān	35.696	51.423
IS-7	Austurland	64.983	-14.637
IS-8	Suðurland	64.075	-19.28
